YearStart,LocationAbbr,StratificationCategory1,Stratification1,Data_Value
2011,AL,Income,"$15,000 - $24,999",34.8
2011,AL,Income,"$25,000 - $34,999",35.8
2011,AL,Income,"$35,000 - $49,999",32.3
2011,AL,Income,"$50,000 - $74,999",34.1
2011,AL,Income,"$75,000 or greater",28.8
2011,AL,Age (years),18 - 24,16.3
2011,AL,Race/Ethnicity,2 or more races,27.8
2011,AL,Age (years),25 - 34,35.2
2011,AL,Age (years),35 - 44,35.5
2011,AL,Age (years),45 - 54,38.0
2011,AL,Age (years),55 - 64,36.4
2011,AL,Age (years),65 or older,27.1
2011,AL,Race/Ethnicity,American Indian/Alaska Native,32.9
2011,AL,Education,College graduate,26.4
2011,AL,Income,Data not reported,23.8
2011,AL,Sex,Female,31.8
2011,AL,Education,High school graduate,32.8
2011,AL,Race/Ethnicity,Hispanic,28.6
2011,AL,Income,"Less than $15,000",38.5
2011,AL,Education,Less than high school,33.6
2011,AL,Sex,Male,32.3
2011,AL,Race/Ethnicity,Non-Hispanic Black,40.1
2011,AL,Race/Ethnicity,Non-Hispanic White,29.8
2011,AL,Education,Some college or technical school,33.8
2011,AL,Total,Total,32.0
2011,AK,Income,"$15,000 - $24,999",30.2
2011,AK,Income,"$25,000 - $34,999",32.2
2011,AK,Income,"$35,000 - $49,999",24.5
2011,AK,Income,"$50,000 - $74,999",27.8
2011,AK,Income,"$75,000 or greater",26.9
2011,AK,Age (years),18 - 24,19.8
2011,AK,Race/Ethnicity,2 or more races,23.3
2011,AK,Age (years),25 - 34,23.5
2011,AK,Age (years),35 - 44,29.5
2011,AK,Age (years),45 - 54,29.2
2011,AK,Age (years),55 - 64,33.4
2011,AK,Age (years),65 or older,29.3
2011,AK,Race/Ethnicity,American Indian/Alaska Native,30.9
2011,AK,Education,College graduate,22.1
2011,AK,Income,Data not reported,22.7
2011,AK,Sex,Female,26.7
2011,AK,Education,High school graduate,33.1
2011,AK,Race/Ethnicity,Hispanic,31.5
2011,AK,Income,"Less than $15,000",33.6
2011,AK,Education,Less than high school,28.8
2011,AK,Sex,Male,28.0
2011,AK,Race/Ethnicity,Non-Hispanic White,25.9
2011,AK,Race/Ethnicity,Other,35.5
2011,AK,Education,Some college or technical school,25.8
2011,AK,Total,Total,27.4
2011,AZ,Income,"$15,000 - $24,999",32.3
2011,AZ,Income,"$25,000 - $34,999",26.5
2011,AZ,Income,"$35,000 - $49,999",20.7
2011,AZ,Income,"$50,000 - $74,999",25.1
2011,AZ,Income,"$75,000 or greater",19.7
2011,AZ,Age (years),18 - 24,18.7
2011,AZ,Race/Ethnicity,2 or more races,20.8
2011,AZ,Age (years),25 - 34,23.6
2011,AZ,Age (years),35 - 44,25.4
2011,AZ,Age (years),45 - 54,29.6
2011,AZ,Age (years),55 - 64,29.9
2011,AZ,Age (years),65 or older,22.6
2011,AZ,Race/Ethnicity,American Indian/Alaska Native,34.2
2011,AZ,Race/Ethnicity,Asian,13.0
2011,AZ,Education,College graduate,17.4
2011,AZ,Income,Data not reported,19.6
2011,AZ,Sex,Female,25.8
2011,AZ,Education,High school graduate,25.2
2011,AZ,Race/Ethnicity,Hispanic,33.8
2011,AZ,Income,"Less than $15,000",34.1
2011,AZ,Education,Less than high school,36.2
2011,AZ,Sex,Male,24.4
2011,AZ,Race/Ethnicity,Non-Hispanic Black,26.8
2011,AZ,Race/Ethnicity,Non-Hispanic White,21.2
2011,AZ,Education,Some college or technical school,25.9
2011,AZ,Total,Total,25.1
2011,AR,Income,"$15,000 - $24,999",30.4
2011,AR,Income,"$25,000 - $34,999",37.2
2011,AR,Income,"$35,000 - $49,999",31.7
2011,AR,Income,"$50,000 - $74,999",30.6
2011,AR,Income,"$75,000 or greater",27.8
2011,AR,Age (years),18 - 24,23.0
2011,AR,Race/Ethnicity,2 or more races,26.4
2011,AR,Age (years),25 - 34,29.3
2011,AR,Age (years),35 - 44,32.9
2011,AR,Age (years),45 - 54,36.4
2011,AR,Age (years),55 - 64,36.9
2011,AR,Age (years),65 or older,26.1
2011,AR,Race/Ethnicity,American Indian/Alaska Native,19.3
2011,AR,Education,College graduate,26.4
2011,AR,Income,Data not reported,24.9
2011,AR,Sex,Female,31.2
2011,AR,Education,High school graduate,33.0
2011,AR,Race/Ethnicity,Hispanic,18.4
2011,AR,Income,"Less than $15,000",33.8
2011,AR,Education,Less than high school,31.1
2011,AR,Sex,Male,30.7
2011,AR,Race/Ethnicity,Non-Hispanic Black,38.1
2011,AR,Race/Ethnicity,Non-Hispanic White,31.0
2011,AR,Education,Some college or technical school,31.0
2011,AR,Total,Total,30.9
2011,CA,Income,"$15,000 - $24,999",30.1
2011,CA,Income,"$25,000 - $34,999",27.2
2011,CA,Income,"$35,000 - $49,999",22.1
2011,CA,Income,"$50,000 - $74,999",24.3
2011,CA,Income,"$75,000 or greater",17.7
2011,CA,Age (years),18 - 24,14.5
2011,CA,Race/Ethnicity,2 or more races,26.9
2011,CA,Age (years),25 - 34,23.7
2011,CA,Age (years),35 - 44,25.9
2011,CA,Age (years),45 - 54,27.6
2011,CA,Age (years),55 - 64,27.6
2011,CA,Age (years),65 or older,21.2
2011,CA,Race/Ethnicity,American Indian/Alaska Native,37.3
2011,CA,Race/Ethnicity,Asian,8.1
2011,CA,Education,College graduate,15.3
2011,CA,Income,Data not reported,17.5
2011,CA,Sex,Female,24.5
2011,CA,Race/Ethnicity,Hawaiian/Pacific Islander,23.2
2011,CA,Education,High school graduate,26.4
2011,CA,Race/Ethnicity,Hispanic,30.3
2011,CA,Income,"Less than $15,000",29.9
2011,CA,Education,Less than high school,32.9
2011,CA,Sex,Male,23.1
2011,CA,Race/Ethnicity,Non-Hispanic Black,33.1
2011,CA,Race/Ethnicity,Non-Hispanic White,22.0
2011,CA,Education,Some college or technical school,24.0
2011,CA,Total,Total,23.8
2011,CO,Income,"$15,000 - $24,999",24.2
2011,CO,Income,"$25,000 - $34,999",23.7
2011,CO,Income,"$35,000 - $49,999",21.3
2011,CO,Income,"$50,000 - $74,999",19.5
2011,CO,Income,"$75,000 or greater",18.3
2011,CO,Age (years),18 - 24,10.2
